INFO  - 2020-06-30 14:48:54.839; org.apache.solr.servlet.SolrDispatchFilter; SolrDispatchFilter.init()
INFO  - 2020-06-30 14:48:54.882; org.apache.solr.core.SolrResourceLoader; Using JNDI solr.home: D:\WorkSpace\solr\solrHome
INFO  - 2020-06-30 14:48:54.888; org.apache.solr.core.SolrResourceLoader; new SolrResourceLoader for directory: 'D:\WorkSpace\solr\solrHome\'
INFO  - 2020-06-30 14:48:55.344; org.apache.solr.core.ConfigSolr; Loading container configuration from D:\WorkSpace\solr\solrHome\solr.xml
INFO  - 2020-06-30 14:48:55.621; org.apache.solr.core.CorePropertiesLocator; Config-defined core root directory: D:\WorkSpace\solr\solrHome
INFO  - 2020-06-30 14:48:55.639; org.apache.solr.core.CoreContainer; New CoreContainer 1154583156
INFO  - 2020-06-30 14:48:55.642; org.apache.solr.core.CoreContainer; Loading cores into CoreContainer [instanceDir=D:\WorkSpace\solr\solrHome\]
INFO  - 2020-06-30 14:48:55.692; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting socketTimeout to: 0
INFO  - 2020-06-30 14:48:55.693; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting urlScheme to: null
INFO  - 2020-06-30 14:48:55.702; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting connTimeout to: 0
INFO  - 2020-06-30 14:48:55.703; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting maxConnectionsPerHost to: 20
INFO  - 2020-06-30 14:48:55.703; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting corePoolSize to: 0
INFO  - 2020-06-30 14:48:55.704; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting maximumPoolSize to: 2147483647
INFO  - 2020-06-30 14:48:55.704; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting maxThreadIdleTime to: 5
INFO  - 2020-06-30 14:48:55.705; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting sizeOfQueue to: -1
INFO  - 2020-06-30 14:48:55.705; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting fairnessPolicy to: false
INFO  - 2020-06-30 14:48:56.186; org.apache.solr.update.UpdateShardHandler; Creating UpdateShardHandler HTTP client with params: socketTimeout=0&connTimeout=0&retry=false
INFO  - 2020-06-30 14:48:56.191; org.apache.solr.logging.LogWatcher; SLF4J impl is org.slf4j.impl.Log4jLoggerFactory
INFO  - 2020-06-30 14:48:56.193; org.apache.solr.logging.LogWatcher; Registering Log Listener [Log4j (org.slf4j.impl.Log4jLoggerFactory)]
INFO  - 2020-06-30 14:48:56.196; org.apache.solr.core.CoreContainer; Host Name: 
INFO  - 2020-06-30 14:48:56.304; org.apache.solr.core.CorePropertiesLocator; Looking for core definitions underneath D:\WorkSpace\solr\solrHome
INFO  - 2020-06-30 14:48:56.333; org.apache.solr.core.CorePropertiesLocator; Found core collection1 in D:\WorkSpace\solr\solrHome\collection1\
INFO  - 2020-06-30 14:48:56.335; org.apache.solr.core.CorePropertiesLocator; Found 1 core definitions
INFO  - 2020-06-30 14:48:56.338; org.apache.solr.core.SolrResourceLoader; new SolrResourceLoader for directory: 'D:\WorkSpace\solr\solrHome\collection1\'
INFO  - 2020-06-30 14:48:56.441; org.apache.solr.core.SolrConfig; Adding specified lib dirs to ClassLoader
WARN  - 2020-06-30 14:48:56.444; org.apache.solr.core.SolrResourceLoader; Can't find (or read) directory to add to classloader: ../../../contrib/extraction/lib (resolved as: D:\WorkSpace\solr\solrHome\collection1\..\..\..\contrib\extraction\lib).
WARN  - 2020-06-30 14:48:56.447; org.apache.solr.core.SolrResourceLoader; Can't find (or read) directory to add to classloader: ../../../dist/ (resolved as: D:\WorkSpace\solr\solrHome\collection1\..\..\..\dist).
WARN  - 2020-06-30 14:48:56.448; org.apache.solr.core.SolrResourceLoader; Can't find (or read) directory to add to classloader: ../../../contrib/clustering/lib/ (resolved as: D:\WorkSpace\solr\solrHome\collection1\..\..\..\contrib\clustering\lib).
WARN  - 2020-06-30 14:48:56.454; org.apache.solr.core.SolrResourceLoader; Can't find (or read) directory to add to classloader: ../../../dist/ (resolved as: D:\WorkSpace\solr\solrHome\collection1\..\..\..\dist).
WARN  - 2020-06-30 14:48:56.455; org.apache.solr.core.SolrResourceLoader; Can't find (or read) directory to add to classloader: ../../../contrib/langid/lib/ (resolved as: D:\WorkSpace\solr\solrHome\collection1\..\..\..\contrib\langid\lib).
